Date : 2024-01-08 16:58:04
Directory : /Users/siyao/Documents/DMP/DMPReborn
Total : 352 files,  46168 codes, 7650 comments, 5594 blanks, all 59412 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages/itmat-interface/src/graphql/resolvers                                                                                                |         14 |        997 |      1,523 |        256 |      2,776 |
| packages/itmat-interface/src/log                                                                                                              |          2 |        135 |         68 |         28 |        231 |
| packages/itmat-interface/src/objStore                                                                                                         |          1 |          2 |          0 |          2 |          4 |
| packages/itmat-interface/src/rest                                                                                                             |          1 |         57 |          4 |          4 |         65 |
| packages/itmat-interface/src/server                                                                                                           |          3 |        321 |         58 |         47 |        426 |
| packages/itmat-interface/src/tRPC                                                                                                             |         12 |      1,708 |        771 |        104 |      2,583 |
| packages/itmat-interface/src/tRPC/procedures                                                                                                  |         12 |      1,708 |        771 |        104 |      2,583 |
| packages/itmat-interface/src/utils                                                                                                            |          9 |        810 |        190 |         91 |      1,091 |
| packages/itmat-interface/src/webdav                                                                                                           |          1 |        368 |         21 |         33 |        422 |
| packages/itmat-interface/test                                                                                                                 |         18 |     16,753 |        499 |        661 |     17,913 |
| packages/itmat-interface/test/serverTests                                                                                                     |          8 |     11,828 |        389 |        586 |     12,803 |
| packages/itmat-interface/test/trpcTests                                                                                                       |          8 |      4,894 |        110 |         71 |      5,075 |
| packages/itmat-interface/test/utils                                                                                                           |          2 |         31 |          0 |          4 |         35 |
| packages/itmat-job-executor                                                                                                                   |         36 |      2,065 |        254 |        185 |      2,504 |
| packages/itmat-job-executor (Files)                                                                                                           |          7 |        147 |         33 |          7 |        187 |
| packages/itmat-job-executor/config                                                                                                            |          1 |         40 |          0 |          0 |         40 |
| packages/itmat-job-executor/src                                                                                                               |         18 |        513 |        207 |         95 |        815 |
| packages/itmat-job-executor/src (Files)                                                                                                       |          3 |        101 |         21 |         19 |        141 |
| packages/itmat-job-executor/src/database                                                                                                      |          1 |         48 |          1 |          3 |         52 |
| packages/itmat-job-executor/src/environments                                                                                                  |          2 |          6 |          0 |          2 |          8 |
| packages/itmat-job-executor/src/jobDispatch                                                                                                   |          1 |         23 |          1 |          6 |         30 |
| packages/itmat-job-executor/src/jobHandlers                                                                                                   |          3 |        117 |         16 |         26 |        159 |
| packages/itmat-job-executor/src/objStore                                                                                                      |          1 |          2 |          0 |          3 |          5 |
| packages/itmat-job-executor/src/query                                                                                                         |          2 |        154 |        167 |         15 |        336 |
| packages/itmat-job-executor/src/server                                                                                                        |          2 |         32 |          0 |         10 |         42 |
| packages/itmat-job-executor/src/utils                                                                                                         |          3 |         30 |          1 |         11 |         42 |
| packages/itmat-job-executor/test                                                                                                              |         10 |      1,365 |         14 |         83 |      1,462 |
| packages/itmat-job-executor/test/testFiles                                                                                                    |          6 |          6 |          0 |          0 |          6 |
| packages/itmat-job-executor/test/unit_tests                                                                                                   |          4 |      1,359 |         14 |         83 |      1,456 |
| packages/itmat-models                                                                                                                         |         28 |        992 |        512 |        118 |      1,622 |
| packages/itmat-models (Files)                                                                                                                 |          9 |        145 |         50 |          8 |        203 |
| packages/itmat-models/src                                                                                                                     |         19 |        847 |        462 |        110 |      1,419 |
| packages/itmat-models/src (Files)                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| packages/itmat-models/src/graphql                                                                                                             |         18 |        846 |        462 |        110 |      1,418 |
| packages/itmat-setup                                                                                                                          |         13 |        365 |         47 |         24 |        436 |
| packages/itmat-setup (Files)                                                                                                                  |          8 |        134 |         43 |         10 |        187 |
| packages/itmat-setup/src                                                                                                                      |          5 |        231 |          4 |         14 |        249 |
| packages/itmat-setup/src (Files)                                                                                                              |          2 |         18 |          0 |          4 |         22 |
| packages/itmat-setup/src/databaseSetup                                                                                                        |          3 |        213 |          4 |         10 |        227 |
| packages/itmat-setup/src/databaseSetup (Files)                                                                                                |          1 |        151 |          4 |          8 |        163 |
| packages/itmat-setup/src/databaseSetup/seed                                                                                                   |          2 |         62 |          0 |          2 |         64 |
| packages/itmat-types                                                                                                                          |         33 |      1,007 |        153 |        140 |      1,300 |
| packages/itmat-types (Files)                                                                                                                  |          9 |        145 |         50 |          9 |        204 |
| packages/itmat-types/src                                                                                                                      |         24 |        862 |        103 |        131 |      1,096 |
| packages/itmat-types/src (Files)                                                                                                              |          2 |         27 |          0 |          1 |         28 |
| packages/itmat-types/src/types                                                                                                                |         22 |        835 |        103 |        130 |      1,068 |
| packages/itmat-ui-react                                                                                                                       |         84 |     14,062 |      1,453 |      3,004 |     18,519 |
| packages/itmat-ui-react (Files)                                                                                                               |          8 |        272 |         38 |         10 |        320 |
| packages/itmat-ui-react-e2e                                                                                                                   |          9 |         87 |         64 |         11 |        162 |
| packages/itmat-ui-react-e2e (Files)                                                                                                           |          4 |         65 |         23 |          2 |         90 |
| packages/itmat-ui-react-e2e/src                                                                                                               |          5 |         22 |         41 |          9 |         72 |
| packages/itmat-ui-react-e2e/src/e2e                                                                                                           |          1 |          8 |          2 |          4 |         14 |
| packages/itmat-ui-react-e2e/src/fixtures                                                                                                      |          1 |          4 |          0 |          0 |          4 |
| packages/itmat-ui-react-e2e/src/support                                                                                                       |          3 |         10 |         39 |          5 |         54 |
| packages/itmat-ui-react/src                                                                                                                   |         76 |     13,790 |      1,415 |      2,994 |     18,199 |
| packages/itmat-ui-react/src (Files)                                                                                                           |          8 |        222 |         40 |         32 |        294 |
| packages/itmat-ui-react/src/assets                                                                                                            |          1 |         15 |          0 |          0 |         15 |
| packages/itmat-ui-react/src/components                                                                                                        |         49 |      5,229 |      1,166 |        467 |      6,862 |
| packages/itmat-ui-react/src/components (Files)                                                                                                |          1 |         73 |          2 |          6 |         81 |
| packages/itmat-ui-react/src/components/dataset                                                                                                |          3 |        176 |         27 |         23 |        226 |
| packages/itmat-ui-react/src/components/datasetDetail                                                                                          |          9 |        873 |         48 |         79 |      1,000 |
| packages/itmat-ui-react/src/components/datasetDetail (Files)                                                                                  |          2 |        122 |          7 |          9 |        138 |
| packages/itmat-ui-react/src/components/datasetDetail/tabContent                                                                               |          7 |        751 |         41 |         70 |        862 |
| packages/itmat-ui-react/src/components/datasetDetail/tabContent (Files)                                                                       |          1 |          1 |          5 |          0 |          6 |
| packages/itmat-ui-react/src/components/datasetDetail/tabContent/dashboard                                                                     |          2 |        171 |          4 |         19 |        194 |
| packages/itmat-ui-react/src/components/datasetDetail/tabContent/dataStatistics                                                                |          2 |        162 |         18 |         20 |        200 |
| packages/itmat-ui-react/src/components/datasetDetail/tabContent/fileRepo                                                                      |          2 |        417 |         14 |         31 |        462 |
| packages/itmat-ui-react/src/components/documents                                                                                              |          3 |        369 |         20 |         29 |        418 |
| packages/itmat-ui-react/src/components/job                                                                                                    |          3 |        321 |         12 |         12 |        345 |
| packages/itmat-ui-react/src/components/login                                                                                                  |          5 |        570 |         50 |         45 |        665 |
| packages/itmat-ui-react/src/components/organisations                                                                                          |          3 |        377 |         17 |         25 |        419 |
| packages/itmat-ui-react/src/components/profile                                                                                                |          6 |      1,283 |        432 |        123 |      1,838 |
| packages/itmat-ui-react/src/components/reusable                                                                                               |          9 |        634 |        525 |         80 |      1,239 |
| packages/itmat-ui-react/src/components/reusable (Files)                                                                                       |          1 |          1 |          0 |          1 |          2 |
| packages/itmat-ui-react/src/components/reusable/fieldList                                                                                     |          1 |        126 |          0 |          2 |        128 |
| packages/itmat-ui-react/src/components/reusable/fileList                                                                                      |          1 |        284 |          0 |         11 |        295 |
| packages/itmat-ui-react/src/components/reusable/loadSpinner                                                                                   |          2 |         84 |          0 |         11 |         95 |
| packages/itmat-ui-react/src/components/reusable/roleControlSection                                                                            |          2 |        109 |        525 |         50 |        684 |
| packages/itmat-ui-react/src/components/reusable/subsection                                                                                    |          2 |         30 |          0 |          5 |         35 |
| packages/itmat-ui-react/src/components/scaffold                                                                                               |          4 |        197 |         11 |         22 |        230 |
| packages/itmat-ui-react/src/components/users                                                                                                  |          3 |        356 |         22 |         23 |        401 |
| packages/itmat-ui-react/src/css                                                                                                               |          4 |        347 |         76 |         55 |        478 |
| packages/itmat-ui-react/src/environments                                                                                                      |          2 |          6 |          2 |          3 |         11 |
| packages/itmat-ui-react/src/utils                                                                                                             |         12 |      7,971 |        131 |      2,437 |     10,539 |
| packages/itmat-ui-react/src/utils (Files)                                                                                                     |          5 |        336 |         94 |         62 |        492 |
| packages/itmat-ui-react/src/utils/dmpCrypto                                                                                                   |          7 |      7,635 |         37 |      2,375 |     10,047 |
| scripts                                                                                                                                       |          1 |          4 |          0 |          1 |          5 |
| test                                                                                                                                          |          2 |        198 |         12 |         17 |        227 |
| test/fixtures                                                                                                                                 |          2 |        198 |         12 |         17 |        227 |
| testscript                                                                                                                                    |          7 |         15 |          0 |          1 |         16 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/siyao/Documents/DMP/DMPReborn/.devcontainer/Dockerfile                                                                                 | Docker             |          2 |          9 |          4 |         15 |
| /Users/siyao/Documents/DMP/DMPReborn/.devcontainer/devcontainer.json                                                                          | JSON with Comments |         20 |         13 |          0 |         33 |
| /Users/siyao/Documents/DMP/DMPReborn/.eslintrc.js                                                                                             | JavaScript         |         79 |          0 |          4 |         83 |
| /Users/siyao/Documents/DMP/DMPReborn/.eslintrc.json                                                                                           | JSON with Comments |          3 |          0 |          0 |          3 |
| /Users/siyao/Documents/DMP/DMPReborn/.gitguardian.yml                                                                                         | YAML               |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/.github/dependabot.yml                                                                                   | YAML               |         24 |          0 |          1 |         25 |
| /Users/siyao/Documents/DMP/DMPReborn/.github/workflows/99_ci.yml                                                                              | YAML               |         54 |         24 |         13 |         91 |
| /Users/siyao/Documents/DMP/DMPReborn/.github/workflows/codeql.yml                                                                             | YAML               |         21 |         19 |         11 |         51 |
| /Users/siyao/Documents/DMP/DMPReborn/README.md                                                                                                | Markdown           |         49 |          0 |         25 |         74 |
| /Users/siyao/Documents/DMP/DMPReborn/SECURITY.md                                                                                              | Markdown           |         11 |          0 |          6 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/babel.config.json                                                                                        | JSON with Comments |          5 |          0 |          0 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/jest.config.ts                                                                                           | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/jest.preset.js                                                                                           | JavaScript         |          5 |          0 |          2 |          7 |
| /Users/siyao/Documents/DMP/DMPReborn/lgtm.yml                                                                                                 | YAML               |          3 |          0 |          0 |          3 |
| /Users/siyao/Documents/DMP/DMPReborn/nx.json                                                                                                  | JSON               |         62 |          0 |          0 |         62 |
| /Users/siyao/Documents/DMP/DMPReborn/package.json                                                                                             | JSON               |        187 |          0 |          0 |        187 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/.eslintrc.json                                                                    | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/.lib.swcrc                                                                        | JSON with Comments |         31 |          0 |          0 |         31 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/README.md                                                                         | Markdown           |          6 |          0 |         14 |         20 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/jest.config.ts                                                                    | TypeScript         |         19 |          3 |          2 |         24 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/package.json                                                                      | JSON               |          5 |          0 |          0 |          5 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/project.json                                                                      | JSON               |         34 |         12 |          0 |         46 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/index.ts                                                                      | TypeScript         |          1 |          0 |          2 |          3 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/database.ts                                                             | TypeScript         |         70 |          1 |         13 |         84 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/error.ts                                                                | TypeScript         |         16 |          0 |          5 |         21 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/index.ts                                                                | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/logger.ts                                                               | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/objStore.ts                                                             | TypeScript         |         64 |          2 |         10 |         76 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/poller.ts                                                               | TypeScript         |        110 |         11 |          9 |        130 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/src/utils/serverBase.ts                                                           | TypeScript         |         15 |          0 |          5 |         20 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/test/unitTests/objStore.test.ts                                                   | TypeScript         |        100 |          3 |         13 |        116 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/tsconfig.json                                                                     | JSON with Comments |         22 |          0 |          0 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/tsconfig.lib.json                                                                 | JSON               |         11 |          5 |          0 |         16 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-commons/tsconfig.spec.json                                                                | JSON               |         15 |          2 |          0 |         17 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-docker/Dockerfile                                                                         | Docker             |         14 |          0 |          7 |         21 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-docker/config/config.sample.json                                                          | JSON               |         44 |          0 |          1 |         45 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-docker/launcher.js                                                                        | JavaScript         |         63 |          3 |         11 |         77 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-docker/package.json                                                                       | JSON               |         27 |          0 |          0 |         27 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-docker/project.json                                                                       | JSON               |         28 |          0 |          0 |         28 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/.eslintrc.json                                                                  | JSON with Comments |          6 |         28 |          0 |         34 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/config/config.sample.json                                                       | JSON               |         55 |          0 |          0 |         55 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/jest.config.ts                                                                  | TypeScript         |         21 |          3 |          1 |         25 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/project.json                                                                    | JSON               |         70 |          0 |          0 |         70 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/authentication/pubkeyAuthentication.ts                                      | TypeScript         |         18 |          1 |          4 |         23 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/database/database.ts                                                        | TypeScript         |         49 |          0 |          3 |         52 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/emailer/emailer.ts                                                          | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/encryption/aes.ts                                                           | TypeScript         |         37 |          0 |          6 |         43 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/environments/environment.prod.ts                                            | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/environments/environment.ts                                                 | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/configCore.ts                                                  | TypeScript         |         31 |          9 |          3 |         43 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/dataCore.ts                                                    | TypeScript         |        957 |        205 |        109 |      1,271 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/docCore.ts                                                     | TypeScript         |        133 |         51 |         20 |        204 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/driveCore.ts                                                   | TypeScript         |        414 |         80 |         35 |        529 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/fieldCore.ts                                                   | TypeScript         |         66 |          9 |         10 |         85 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/fileCore.ts                                                    | TypeScript         |        194 |         97 |         21 |        312 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/jobCore.ts                                                     | TypeScript         |         83 |         15 |         11 |        109 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/logCore.ts                                                     | TypeScript         |        204 |         18 |          7 |        229 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/organisationCore.ts                                            | TypeScript         |        104 |         38 |         13 |        155 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/permissionCore.ts                                              | TypeScript         |        212 |        620 |         79 |        911 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/queryCore.ts                                                   | TypeScript         |         26 |          2 |          5 |         33 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/studyCore.ts                                                   | TypeScript         |        265 |        201 |         53 |        519 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/transformationCore.ts                                          | TypeScript         |        377 |        295 |         75 |        747 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/userCore.ts                                                    | TypeScript         |        557 |        177 |         76 |        810 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/core/utilsCore.ts                                                   | TypeScript         |        123 |         13 |         12 |        148 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/declare.d.ts                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/errors.ts                                                           | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/pubsub.ts                                                           | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/configResolvers.ts                                        | TypeScript         |         23 |          8 |          2 |         33 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/dataResolvers.ts                                          | TypeScript         |        112 |        272 |         54 |        438 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/docResolvers.ts                                           | TypeScript         |         54 |         46 |          7 |        107 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/fileResolvers.ts                                          | TypeScript         |         23 |        314 |         27 |        364 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/index.ts                                                  | TypeScript         |         61 |          5 |          7 |         73 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/jobResolvers.ts                                           | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/logResolvers.ts                                           | TypeScript         |         15 |         14 |          6 |         35 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/organisationResolvers.ts                                  | TypeScript         |         49 |         38 |         13 |        100 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/permissionResolvers.ts                                    | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/pubkeyResolvers.ts                                        | TypeScript         |         12 |          2 |          2 |         16 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/queryResolvers.ts                                         | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/standardizationResolvers.ts                               | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/studyResolvers.ts                                         | TypeScript         |        125 |        565 |         42 |        732 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/resolvers/userResolvers.ts                                          | TypeScript         |        484 |        259 |         84 |        827 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/responses.ts                                                        | TypeScript         |         10 |          0 |          2 |         12 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/graphql/typeDefs.ts                                                         | TypeScript         |        647 |          0 |        115 |        762 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/index.ts                                                                    | TypeScript         |        116 |          3 |         13 |        132 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/interfaceRunner.ts                                                          | TypeScript         |         29 |         16 |         10 |         55 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/log/logPlugin.ts                                                            | TypeScript         |         46 |         40 |          9 |         95 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/log/trpcLogHelper.ts                                                        | TypeScript         |         89 |         28 |         19 |        136 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/objStore/objStore.ts                                                        | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/rest/fileDownload.ts                                                        | TypeScript         |         57 |          4 |          4 |         65 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/server/router.ts                                                            | TypeScript         |        300 |         42 |         44 |        386 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/server/server.ts                                                            | TypeScript         |         18 |          0 |          3 |         21 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/server/tRPCRouter.ts                                                        | TypeScript         |          3 |         16 |          0 |         19 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/configProcedure.ts                                          | TypeScript         |         21 |          9 |          3 |         33 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/dataProcedure.ts                                            | TypeScript         |        305 |        167 |         13 |        485 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/docProcedure.ts                                             | TypeScript         |        122 |         50 |          3 |        175 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/driveProcedure.ts                                           | TypeScript         |        128 |         64 |          6 |        198 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/index.ts                                                    | TypeScript         |         22 |          0 |          0 |         22 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/jobProcedure.ts                                             | TypeScript         |         59 |         14 |          7 |         80 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/logProcedure.ts                                             | TypeScript         |         30 |         12 |          3 |         45 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/organisationProcedure.ts                                    | TypeScript         |        117 |         39 |          2 |        158 |
| /Users/siyao/Documents/DMP/DMPReborn/packages/itmat-interface/src/tRPC/procedures/permissionProcedure.ts                                      | TypeScript         |         84 |         35 |          5 |        124 |
